Item,expSet,WP1_match,SocStat_context,SocStat_text
13,WP1,14,low,Astrein hergerichtet plappert Maria&#58;
35,WP2,x,high,Die Aufsichtsbeh&ouml;rde postulierte die glorreiche Erkenntnis&#58;
5,WP2,x,high,Der Delegierte &uuml;bersandte die amtliche Botschaft&#58;
14,WP2,x,low,Der Rotzl&ouml;ffel quakte laut&#58;
26,WP2,x,low,Der Handlanger steckte den l&auml;stigen Gaffern&#58;
17,WP2,x,high,Die Herzogin &uuml;berzeugte den Premier&#58;
1,WP2,x,high,Der Polizeikommissar vermerkte in der Akte&#58;
3,WP1,4,high,Modern ausgerichtet spricht Felix&#58;
35,WP1,36,high,Effizient autonom deklariert Vera&#58;
28,WP2,x,high,Die Erziehungsberechtigten erz&auml;hlten dem Nachfahren&#58;
37,WP2,x,low,Die Sekret&auml;rin klatschte &uuml;ber den Gossip&#58;
15,WP1,16,low,Helle gestrickt t&ouml;nt Robert&#58;
5,WP1,6,low,Stark unter Dampf tr&ouml;tet Moritz&#58;
19,WP2,x,low,Der Schw&auml;tzer palaverte ohne Ende&#58;
31,WP2,x,low,Die Zuschauer schnackten in der Pause&#58;
38,WP2,x,low,Die Olle postete den Kram&#58;
29,WP1,30,high,Exzessiv arrogant intoniert Annika&#58;
3,WP2,x,high,Der Schuldirektor begr&uuml;ndete in dem Verweis&#58;
3,WP1,4,low,Schlampig eingestellt labert Felix&#58;
9,WP2,x,low,Der Lausbub patzte ins Tagebuch&#58;
10,WP2,x,high,Der Regent bekundete edelm&uuml;tig&#58;
12,WP2,x,low,Der Hallodri l&auml;sterte in seiner Freizeit&#58;
26,WP2,x,high,Der Hotelier verk&uuml;ndigte der vornehmen Gesellschaft&#58;
21,WP1,22,high,Fachkundig instruiert signalisiert Florian&#58;
21,WP1,22,low,Fix ger&uuml;stet plappert Florian&#58;
17,WP1,18,high,Penibelst disponiert propagiert Tobias&#58;
3,WP2,x,low,Der Klassenclown st&auml;nkerte in der SMS&#58;
21,WP2,x,high,Der Herold verk&uuml;ndete den Ehrenb&uuml;rgern&#58;
